OBJECTID,statefp,countyfp,tractce,affgeoid,geoid,name,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH,SHAPE__Length,SHAPE__Area
9858,06,075,012401,1400000US06075012401,06075012401,124.01,San Francisco,CA,Califor,"Census Tract 124.01, San Francisco County, Calif","4,667.00",451.00,"2,215.00",1.41,0.58,1.41,0.79,0.00,0.41,0.98,0.78,2.17,0.61,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.91,0.23,1.52,0.46,0.29,0.77,0.00,1.05,0.51,0.74,0.74,0.74,6.34,0.56,0.79,0.79,0.79,0.79,0.89,0.21,1.00,0.97,0.52,0.95,5.32,0.86,0.24,0.13,0.94,0.93,2.24,0.70,0.00,0.85,0.85,0.52,9.20,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.68,1.87,37.97,0.00,100.00,0.00,0.00,0.00,0.00,100.00,92.39,13.50,2.96,100.00,0.00,87.95,67.90,47.68,25.40,2.80,59.20,53.84,7.30,40.00,11.20,15.00,22.90,15.20,0.00,3.20,29.10,8.60,4.40,14.20,11.80,0.33,0.18,0.10,0.63,0.53,"1,213.04","91,920.64"
9859,06,075,012402,1400000US06075012402,06075012402,124.02,San Francisco,CA,Califor,"Census Tract 124.02, San Francisco County, Calif","4,662.00",360.00,"8,033.00",1.29,0.52,1.29,0.72,0.00,0.40,0.98,0.82,2.20,0.62,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.57,0.00,0.96,0.07,0.70,0.77,0.00,1.47,0.72,0.74,0.74,0.74,6.22,0.53,0.78,0.78,0.78,0.57,0.53,0.65,1.00,0.84,0.37,0.78,4.74,0.76,0.25,0.03,0.85,0.89,2.03,0.52,0.00,0.93,0.93,0.59,8.48,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.65,1.84,39.04,0.00,100.00,0.00,0.00,0.00,0.00,100.00,67.23,18.39,85.35,100.00,0.00,87.95,66.80,33.30,10.50,6.10,58.20,41.03,5.30,26.30,11.40,6.30,18.90,11.70,0.00,7.00,25.60,8.00,5.00,11.60,8.50,0.15,0.07,0.18,0.22,0.23,"2,846.26","359,779.91"
9860,06,075,012501,1400000US06075012501,06075012501,125.01,San Francisco,CA,Califor,"Census Tract 125.01, San Francisco County, Calif","4,293.00",599.00,"4,104.00",1.95,0.80,1.55,0.86,0.00,0.41,0.98,0.79,2.19,0.62,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.70,0.01,1.10,0.13,0.73,0.77,0.00,1.50,0.74,0.74,0.74,0.74,6.37,0.57,0.84,0.84,0.84,0.91,0.83,0.87,0.99,0.96,0.64,0.96,6.16,0.98,0.80,0.22,0.98,0.97,2.97,0.99,0.00,0.87,0.87,0.53,10.84,0.99,1.00,0.00,0.00,0.00,1.00,2.00,0.40,0.00,8.70,1.90,38.20,0.00,100.00,0.00,0.00,0.00,0.00,100.00,77.92,18.00,92.47,100.00,0.00,87.95,76.40,60.40,21.30,9.80,51.50,52.70,9.40,42.40,21.20,17.70,27.10,23.80,0.00,3.70,38.50,9.50,5.60,15.10,16.30,0.82,0.43,0.27,0.91,0.63,"1,973.05","136,036.07"
9861,06,075,012502,1400000US06075012502,06075012502,125.02,San Francisco,CA,Califor,"Census Tract 125.02, San Francisco County, Calif","3,674.00",602.00,"1,813.00",1.98,0.81,1.58,0.88,0.00,0.41,0.98,0.79,2.19,0.62,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.84,0.28,1.51,0.45,0.39,0.77,0.00,1.16,0.55,0.74,0.74,0.74,6.45,0.58,0.85,0.85,0.85,0.88,0.95,0.98,1.00,0.86,0.45,0.99,6.11,0.97,0.97,0.04,1.00,0.98,2.98,0.99,0.50,0.94,1.44,0.85,11.38,1.00,1.00,0.00,0.00,0.00,1.00,2.00,0.40,0.00,8.70,1.90,38.34,0.00,100.00,0.00,0.00,0.00,0.00,100.00,87.80,12.75,16.73,100.00,0.00,87.95,80.20,56.44,33.80,18.10,61.00,42.20,6.30,57.50,31.80,7.80,34.20,25.20,0.70,8.70,44.00,9.40,6.60,15.20,21.90,0.93,0.40,0.47,0.98,0.64,"1,004.05","61,419.12"
9862,06,075,012601,1400000US06075012601,06075012601,126.01,San Francisco,CA,Califor,"Census Tract 126.01, San Francisco County, Calif","2,516.00",207.00,"1,172.00",0.23,0.02,0.23,0.04,0.00,0.40,0.98,0.65,2.03,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.94,0.02,1.35,0.30,0.00,0.77,0.00,0.77,0.32,0.61,0.61,0.61,4.76,0.21,0.43,0.43,0.43,0.07,0.11,0.09,0.99,0.09,0.01,0.29,1.65,0.13,0.16,0.08,0.11,0.51,0.86,0.03,0.00,0.00,0.00,0.00,2.94,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.67,1.74,34.56,0.00,0.00,0.00,0.00,0.00,0.00,100.00,94.57,16.83,0.00,100.00,0.00,66.71,24.00,8.62,2.90,1.80,46.30,14.41,0.30,10.70,9.50,12.70,6.80,1.40,0.00,0.00,16.80,7.70,5.00,9.40,3.80,0.02,0.04,0.18,0.01,0.05,"1,661.72","171,378.96"
9863,06,075,012602,1400000US06075012602,06075012602,126.02,San Francisco,CA,Califor,"Census Tract 126.02, San Francisco County, Calif","2,844.00",236.00,"1,917.00",0.18,0.01,0.18,0.02,0.00,0.42,0.98,0.68,2.08,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.81,0.00,1.20,0.18,0.00,0.77,0.00,0.77,0.32,0.37,0.37,0.37,4.41,0.15,0.43,0.43,0.43,0.08,0.05,0.29,0.98,0.16,0.08,0.13,1.76,0.15,0.31,0.08,0.06,0.42,0.87,0.03,0.00,0.00,0.00,0.00,3.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.72,1.85,35.20,0.00,0.00,0.00,0.00,0.00,0.00,100.00,85.88,18.92,0.00,100.00,0.00,29.04,24.10,9.28,1.60,3.30,40.10,16.83,1.90,6.20,12.40,12.50,5.70,0.90,0.00,0.00,19.30,7.60,5.80,9.00,4.60,0.03,0.03,0.31,0.02,0.03,"4,451.05","941,349.14"
9864,06,075,012700,1400000US06075012700,06075012700,127,San Francisco,CA,Califor,"Census Tract 127, San Francisco County, Californ","4,092.00",326.00,"2,420.00",0.21,0.02,0.21,0.03,0.00,0.39,0.98,0.65,2.02,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.90,0.04,1.32,0.28,0.00,0.77,0.00,0.77,0.32,0.49,0.49,0.49,4.60,0.18,0.41,0.41,0.41,0.06,0.02,0.36,0.97,0.17,0.03,0.07,1.67,0.14,0.65,0.04,0.03,0.37,1.10,0.05,0.00,0.00,0.00,0.00,3.19,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.63,1.81,34.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,91.88,16.28,0.00,100.00,0.00,45.57,22.60,7.62,0.70,3.80,38.00,17.35,1.00,4.20,18.20,8.50,4.70,0.70,0.00,0.00,18.70,7.70,5.60,9.30,4.50,0.02,0.04,0.27,0.01,0.05,"3,353.58","526,241.86"
9865,06,075,012800,1400000US06075012800,06075012800,128,San Francisco,CA,Califor,"Census Tract 128, San Francisco County, Californ","4,556.00",399.00,"3,990.00",0.25,0.03,0.25,0.04,0.00,0.39,0.98,0.68,2.05,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.94,0.01,1.33,0.29,0.00,0.77,0.00,0.77,0.32,0.51,0.51,0.51,4.65,0.19,0.40,0.40,0.40,0.11,0.24,0.10,0.94,0.09,0.05,0.09,1.62,0.13,0.28,0.10,0.11,0.65,1.14,0.06,0.00,0.38,0.38,0.16,3.54,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.63,1.69,35.22,0.00,0.00,0.00,0.00,0.00,0.00,100.00,94.58,17.75,0.00,100.00,0.00,49.00,21.50,11.02,5.10,1.90,32.60,14.58,1.40,4.90,11.90,14.00,6.80,2.70,0.00,0.10,20.70,8.20,6.00,10.20,5.40,0.04,0.10,0.35,0.03,0.10,"3,056.41","497,336.40"
9866,06,075,012901,1400000US06075012901,06075012901,129.01,San Francisco,CA,Califor,"Census Tract 129.01, San Francisco County, Calif","2,783.00",219.00,"1,244.00",0.22,0.02,0.22,0.03,0.00,0.42,0.98,0.71,2.11,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.95,0.08,1.42,0.37,0.00,0.77,0.00,0.77,0.32,0.28,0.28,0.28,4.57,0.17,0.41,0.41,0.41,0.04,0.02,0.43,0.99,0.14,0.06,0.08,1.76,0.15,0.14,0.05,0.02,0.42,0.62,0.02,0.00,0.55,0.55,0.29,3.35,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.74,1.75,35.98,0.00,0.00,0.00,0.00,0.00,0.00,100.00,95.52,15.33,0.00,100.00,0.00,16.57,22.80,5.81,1.00,4.30,44.70,16.21,1.60,4.70,8.90,9.80,3.40,0.90,0.00,0.40,15.30,7.60,4.40,9.30,3.60,0.01,0.03,0.10,0.01,0.05,"1,700.24","180,685.52"
9867,06,075,012902,1400000US06075012902,06075012902,129.02,San Francisco,CA,Califor,"Census Tract 129.02, San Francisco County, Calif","3,865.00",309.00,"2,365.00",0.25,0.03,0.25,0.04,0.00,0.41,0.98,0.70,2.09,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.85,0.01,1.24,0.22,0.00,0.77,0.00,0.77,0.32,0.45,0.45,0.45,4.55,0.17,0.39,0.39,0.39,0.06,0.02,0.06,0.98,0.14,0.01,0.28,1.55,0.12,0.46,0.02,0.13,0.42,1.03,0.04,0.00,0.79,0.79,0.47,3.77,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.69,1.73,35.86,0.00,0.00,0.00,0.00,0.00,0.00,100.00,88.34,17.33,0.00,100.00,0.00,39.58,20.80,7.96,0.90,1.40,41.90,16.36,0.30,10.60,15.00,4.10,7.20,0.90,0.00,2.10,16.90,7.80,5.00,9.90,4.10,0.02,0.05,0.18,0.01,0.08,"3,094.30","354,533.83"
9868,06,075,013000,1400000US06075013000,06075013000,130,San Francisco,CA,Califor,"Census Tract 130, San Francisco County, Californ","4,719.00",368.00,"5,025.00",0.17,0.01,0.17,0.02,0.00,0.41,0.98,0.66,2.05,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.93,0.01,1.32,0.28,0.00,0.77,0.00,0.77,0.32,0.28,0.28,0.28,4.41,0.15,0.32,0.32,0.32,0.13,0.03,0.17,0.98,0.01,0.01,0.03,1.36,0.09,0.20,0.04,0.03,0.42,0.69,0.02,0.46,0.00,0.46,0.23,2.83,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.69,1.70,34.92,0.00,0.00,0.00,0.00,0.00,0.00,100.00,93.63,17.58,0.00,100.00,0.00,16.57,16.70,11.70,1.30,2.50,40.50,8.73,0.40,2.60,10.40,7.10,4.50,0.90,0.50,0.00,17.50,7.80,5.30,9.40,4.40,0.02,0.05,0.22,0.01,0.05,"2,869.54","358,091.66"
9869,06,075,013101,1400000US06075013101,06075013101,131.01,San Francisco,CA,Califor,"Census Tract 131.01, San Francisco County, Calif","4,061.00",431.00,"1,900.00",0.35,0.05,0.35,0.08,0.00,0.41,0.98,0.72,2.11,0.59,0.00,0.76,0.00,0.00,0.00,0.00,0.76,0.39,0.39,0.75,0.07,1.20,0.18,0.00,0.77,0.00,0.77,0.32,0.30,0.30,0.30,5.12,0.28,0.48,0.48,0.48,0.06,0.01,0.29,0.99,0.12,0.16,0.07,1.70,0.14,0.18,0.03,0.02,0.48,0.71,0.02,0.00,0.79,0.79,0.47,3.69,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,1.71,36.25,0.00,79.48,0.00,0.00,0.00,0.00,100.00,81.13,15.67,0.00,100.00,0.00,18.92,28.10,7.89,0.40,3.30,48.60,15.51,2.90,4.40,9.90,6.80,4.00,1.20,0.00,2.10,17.80,7.70,5.00,9.30,4.40,0.02,0.04,0.18,0.01,0.05,"1,789.10","173,253.68"
9870,06,075,013102,1400000US06075013102,06075013102,131.02,San Francisco,CA,Califor,"Census Tract 131.02, San Francisco County, Calif","3,012.00",265.00,"1,260.00",0.45,0.08,0.45,0.12,0.00,0.41,0.98,0.69,2.07,0.58,0.00,0.75,0.00,0.00,0.00,0.00,0.75,0.39,0.39,0.93,0.05,1.36,0.31,0.00,0.77,0.00,0.77,0.32,0.32,0.32,0.32,5.28,0.31,0.55,0.55,0.55,0.14,0.02,0.40,0.98,0.18,0.19,0.21,2.11,0.21,0.37,0.05,0.07,0.42,0.90,0.03,0.00,0.76,0.76,0.45,4.33,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.68,1.69,35.54,0.00,78.25,0.00,0.00,0.00,0.00,100.00,93.76,16.00,0.00,100.00,0.00,21.83,34.60,12.17,1.00,4.10,40.10,17.45,3.20,8.50,13.50,9.40,5.80,0.90,0.00,1.70,20.50,7.80,6.30,9.10,5.20,0.04,0.05,0.41,0.02,0.04,"2,579.74","237,971.42"
9871,06,075,013200,1400000US06075013200,06075013200,132,San Francisco,CA,Califor,"Census Tract 132, San Francisco County, Californ","4,292.00",282.00,"3,819.00",0.34,0.04,0.34,0.07,0.00,0.39,0.98,0.68,2.05,0.57,0.00,0.34,0.00,0.00,0.00,0.00,0.34,0.21,0.39,0.97,0.09,1.45,0.40,0.00,0.77,0.00,0.77,0.32,0.29,0.29,0.29,4.90,0.23,0.52,0.52,0.52,0.03,0.00,0.55,0.95,0.10,0.01,0.02,1.65,0.13,0.71,0.14,0.03,0.29,1.16,0.06,0.00,0.66,0.66,0.37,3.99,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.63,1.66,35.31,0.00,1.64,0.00,0.00,0.00,0.00,100.00,97.03,15.17,0.00,100.00,0.00,17.99,31.40,5.18,0.00,5.20,33.40,15.05,0.30,2.10,19.30,15.40,4.20,0.40,0.00,0.80,22.10,7.40,7.00,7.90,5.40,0.06,0.02,0.56,0.03,0.01,"3,668.75","554,307.66"
9872,06,075,013300,1400000US06075013300,06075013300,133,San Francisco,CA,Califor,"Census Tract 133, San Francisco County, Californ","4,634.00",310.00,"4,402.00",0.58,0.13,0.38,0.09,0.00,0.37,0.97,0.56,1.90,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.75,0.05,1.19,0.18,0.00,0.77,0.00,0.77,0.32,0.29,0.29,0.29,4.15,0.11,0.48,0.48,0.48,0.21,0.15,0.40,0.81,0.16,0.08,0.34,2.15,0.22,0.73,0.35,0.14,0.67,1.89,0.40,0.00,0.88,0.88,0.54,5.41,0.27,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,8.53,1.43,32.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,81.90,15.93,0.00,100.00,0.00,17.86,27.90,15.85,3.70,4.10,22.20,16.76,1.80,12.10,19.60,20.00,7.40,3.10,0.00,3.90,27.70,8.20,8.40,9.50,7.70,0.25,0.10,0.87,0.14,0.06,"3,349.21","579,708.31"
9873,06,075,013400,1400000US06075013400,06075013400,134,San Francisco,CA,Califor,"Census Tract 134, San Francisco County, Californ","3,742.00",409.00,"2,278.00",0.33,0.04,0.33,0.07,0.00,0.39,0.98,0.65,2.01,0.56,0.00,0.34,0.00,0.00,0.00,0.00,0.34,0.21,0.39,0.93,0.06,1.37,0.32,0.00,0.77,0.00,0.77,0.32,0.65,0.65,0.65,5.14,0.28,0.53,0.53,0.53,0.03,0.08,0.10,0.94,0.05,0.04,0.05,1.28,0.08,0.42,0.11,0.03,0.25,0.81,0.03,0.00,0.70,0.70,0.40,3.33,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.59,1.63,34.71,0.00,1.44,0.00,0.00,0.00,0.00,100.00,93.82,15.83,0.00,100.00,0.00,73.38,32.80,4.79,2.30,1.90,32.10,12.22,1.10,3.80,14.40,14.50,4.40,0.30,0.00,1.10,19.00,8.00,5.50,9.50,4.80,0.03,0.07,0.26,0.02,0.06,"2,561.14","354,171.06"
9874,06,075,013500,1400000US06075013500,06075013500,135,San Francisco,CA,Califor,"Census Tract 135, San Francisco County, Californ","2,606.00",218.00,"3,349.00",0.61,0.14,0.61,0.22,0.00,0.40,0.98,0.68,2.06,0.57,0.00,0.75,0.00,0.00,0.00,0.00,0.75,0.39,0.39,0.96,0.08,1.42,0.37,0.00,0.77,0.00,0.77,0.32,0.64,0.64,0.64,5.64,0.39,0.58,0.58,0.58,0.15,0.17,0.10,0.98,0.35,0.09,0.20,2.05,0.20,0.61,0.07,0.29,0.64,1.61,0.20,0.00,0.76,0.76,0.45,5.01,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.64,1.66,35.41,0.00,77.98,0.00,0.00,0.00,0.00,100.00,96.32,15.50,0.00,100.00,0.00,71.98,37.10,12.97,4.00,1.90,43.70,22.11,2.00,8.40,17.50,12.10,9.60,2.60,0.00,1.70,20.40,8.00,5.70,9.80,5.40,0.04,0.07,0.29,0.03,0.07,"1,972.02","235,207.80"
9875,06,075,015100,1400000US06075015100,06075015100,151,San Francisco,CA,Califor,"Census Tract 151, San Francisco County, Californ","2,624.00",222.00,"3,521.00",0.79,0.23,0.59,0.20,0.00,0.40,0.98,0.73,2.11,0.59,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.35,0.03,0.76,0.03,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,5.23,0.30,0.68,0.68,0.68,0.13,0.07,0.09,0.98,0.24,0.13,0.60,2.25,0.23,0.93,0.02,0.25,0.64,1.84,0.35,0.00,0.72,0.72,0.42,5.49,0.29,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,8.67,1.75,36.47,0.00,100.00,0.00,0.00,0.00,0.00,100.00,48.31,16.58,0.00,100.00,0.00,87.95,50.10,11.62,2.20,1.80,43.30,19.19,2.50,19.60,26.90,3.00,9.00,2.60,0.00,1.30,27.00,7.10,8.60,8.20,7.40,0.22,0.01,0.89,0.11,0.01,"1,771.34","174,734.18"
9876,06,075,015200,1400000US06075015200,06075015200,152,San Francisco,CA,Califor,"Census Tract 152, San Francisco County, Californ","4,277.00",384.00,"3,184.00",0.91,0.30,0.91,0.44,0.00,0.40,0.98,0.69,2.06,0.58,0.00,0.86,0.00,0.00,0.00,0.00,0.86,0.44,0.39,0.80,0.03,1.22,0.20,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,5.64,0.39,0.62,0.62,0.62,0.32,0.31,0.49,0.98,0.49,0.05,0.47,3.10,0.41,0.81,0.04,0.78,0.79,2.42,0.82,0.00,0.79,0.79,0.47,6.94,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.64,1.68,35.58,0.00,100.00,0.00,0.00,0.00,0.00,100.00,84.93,16.39,0.00,100.00,0.00,87.95,42.30,21.02,6.30,4.70,43.30,25.91,1.30,15.60,21.50,8.30,17.10,5.80,0.00,2.10,25.50,8.00,6.70,10.30,7.90,0.15,0.07,0.49,0.15,0.11,"2,385.03","279,226.03"
9877,06,075,015300,1400000US06075015300,06075015300,153,San Francisco,CA,Califor,"Census Tract 153, San Francisco County, Californ","2,289.00",251.00,"2,473.00",0.52,0.10,0.52,0.16,0.00,0.38,0.98,0.67,2.02,0.56,0.00,0.57,0.00,0.00,0.00,0.00,0.57,0.30,0.39,0.79,0.03,1.21,0.19,0.00,0.77,0.00,0.77,0.32,0.74,0.74,0.74,5.31,0.32,0.62,0.62,0.62,0.07,0.46,0.29,0.88,0.17,0.08,0.10,2.04,0.20,0.31,0.11,0.15,0.70,1.26,0.08,0.00,0.93,0.93,0.59,4.86,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.58,1.63,34.99,0.00,27.51,0.00,0.00,0.00,0.00,100.00,84.26,16.42,0.00,100.00,0.00,87.95,42.10,8.19,9.00,3.30,26.40,17.11,1.90,5.30,12.40,14.40,7.50,3.50,0.00,7.50,20.80,8.10,5.40,10.20,5.70,0.04,0.09,0.24,0.03,0.10,"2,101.17","233,695.71"
9878,06,075,015400,1400000US06075015400,06075015400,154,San Francisco,CA,Califor,"Census Tract 154, San Francisco County, Californ","5,951.00",420.00,"4,725.00",0.20,0.02,0.20,0.03,0.00,0.37,0.96,0.52,1.85,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.88,0.03,1.30,0.26,0.00,0.55,0.00,0.55,0.19,0.30,0.30,0.30,4.01,0.09,0.56,0.56,0.56,0.07,0.07,0.54,0.94,0.24,0.03,0.20,2.08,0.20,0.28,0.08,0.17,0.49,1.02,0.04,0.00,0.45,0.45,0.20,4.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.51,1.36,31.62,0.00,0.00,0.00,0.00,0.00,0.00,100.00,90.79,16.57,0.00,63.27,0.00,19.83,35.60,8.63,2.10,5.10,32.80,19.04,0.90,8.30,11.90,12.60,7.80,1.30,0.00,0.20,21.70,7.60,5.70,9.40,6.10,0.05,0.03,0.29,0.04,0.05,"3,807.46","725,822.13"
9879,06,075,015500,1400000US06075015500,06075015500,155,San Francisco,CA,Califor,"Census Tract 155, San Francisco County, Californ","3,551.00",447.00,"3,693.00",1.14,0.43,0.94,0.46,0.00,0.39,0.98,0.69,2.06,0.57,0.00,0.74,0.00,0.00,0.00,0.00,0.74,0.38,0.39,0.62,0.07,1.07,0.12,0.00,0.66,0.00,0.66,0.25,0.74,0.74,0.74,5.26,0.31,0.71,0.71,0.71,0.37,0.33,0.07,1.00,0.63,0.03,0.87,3.29,0.45,0.99,0.02,0.95,0.92,2.88,0.98,0.00,0.74,0.74,0.44,7.62,0.63,0.00,0.00,1.00,0.00,0.00,1.00,0.20,0.00,8.60,1.68,35.66,0.00,73.50,0.00,0.00,0.00,0.00,100.00,71.56,15.61,0.00,86.14,0.00,87.95,53.80,23.44,6.60,1.60,55.30,30.67,1.00,31.20,40.60,3.80,23.90,14.20,0.00,1.50,32.40,7.80,8.40,10.30,10.90,0.53,0.05,0.87,0.52,0.11,"3,613.69","315,730.97"
9880,06,075,015600,1400000US06075015600,06075015600,156,San Francisco,CA,Califor,"Census Tract 156, San Francisco County, Californ","3,506.00",377.00,"1,679.00",0.43,0.07,0.43,0.11,0.00,0.35,0.76,0.25,1.37,0.28,0.00,0.00,0.00,0.81,0.00,0.00,0.81,0.41,0.39,0.66,0.05,1.09,0.12,0.00,0.75,0.00,0.75,0.31,0.28,0.28,0.28,4.30,0.13,0.76,0.76,0.76,0.33,0.50,0.11,0.93,0.44,0.03,0.39,2.74,0.33,0.59,0.10,0.04,0.83,1.56,0.18,0.00,0.55,0.55,0.29,5.61,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.45,0.65,25.31,0.00,0.00,0.00,17.66,0.00,0.00,100.00,74.28,15.94,0.00,99.62,0.00,16.57,61.70,21.79,9.90,2.00,31.20,24.54,1.00,13.40,17.10,13.80,4.90,7.70,0.00,0.40,21.20,8.30,4.70,11.60,7.10,0.05,0.12,0.14,0.09,0.23,"2,442.69","293,920.78"
9881,06,075,015700,1400000US06075015700,06075015700,157,San Francisco,CA,Califor,"Census Tract 157, San Francisco County, Californ","8,904.00",749.00,"12,108.00",0.62,0.15,0.62,0.22,0.00,0.37,0.97,0.65,1.99,0.55,0.00,0.44,0.00,0.69,0.00,0.00,1.13,0.56,0.39,0.71,0.09,1.18,0.17,0.55,0.22,0.00,0.77,0.32,0.34,0.34,0.34,5.40,0.34,0.70,0.70,0.70,0.27,0.26,0.85,0.74,0.17,0.43,0.21,2.93,0.37,0.13,0.04,0.02,0.65,0.85,0.03,0.00,0.98,0.98,0.65,5.46,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,1.55,34.56,0.00,7.44,0.00,2.30,0.00,0.00,100.00,78.62,15.29,45.31,5.65,0.00,24.94,52.70,18.72,5.50,9.40,19.00,17.08,6.00,8.70,8.80,8.60,3.70,2.80,0.00,30.70,16.70,8.60,3.60,12.80,4.90,0.01,0.18,0.03,0.02,0.36,"3,955.98","831,497.58"
9882,06,075,015801,1400000US06075015801,06075015801,158.01,San Francisco,CA,Califor,"Census Tract 158.01, San Francisco County, Calif","3,837.00",271.00,"2,951.00",1.12,0.42,1.12,0.60,0.00,0.38,0.98,0.71,2.06,0.58,0.00,0.77,0.00,0.00,0.00,0.00,0.77,0.39,0.39,0.61,0.11,1.11,0.13,0.72,0.61,0.00,1.33,0.64,0.74,0.74,0.74,6.00,0.48,0.75,0.75,0.75,0.42,0.38,0.69,0.93,0.63,0.29,0.43,3.77,0.56,0.69,0.27,0.60,0.81,2.36,0.79,0.00,0.79,0.79,0.47,7.67,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.56,1.69,35.97,0.00,82.23,0.00,0.00,0.00,0.00,100.00,70.73,14.89,89.60,75.80,0.00,87.95,59.80,26.23,7.40,6.60,31.40,30.46,4.40,14.40,18.80,18.70,13.80,6.50,0.00,2.00,27.80,9.10,5.30,11.90,9.20,0.26,0.31,0.22,0.31,0.26,"2,692.20","342,432.72"
